State,participation_act,english_act,math_act,reading_act,science_act,composite_act,participation_sat,ebrw_sat,math_sat,total_sat
Alabama,100.0,18.9,18.4,19.7,19.4,19.2,5.0,593.0,572.0,1165.0
Alaska,65.0,18.7,19.8,20.4,19.9,19.8,38.0,547.0,533.0,1080.0
Arizona,62.0,18.6,19.8,20.1,19.8,19.7,30.0,563.0,553.0,1116.0
Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,3.0,614.0,594.0,1208.0
California,31.0,22.5,22.7,23.1,22.2,22.8,53.0,531.0,524.0,1055.0
Colorado,100.0,20.1,20.3,21.2,20.9,20.8,11.0,606.0,595.0,1201.0
Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,100.0,530.0,512.0,1041.0
Delaware,18.0,24.1,23.4,24.8,23.6,24.1,100.0,503.0,492.0,996.0
District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,100.0,482.0,468.0,950.0
Florida,73.0,19.0,19.4,21.0,19.4,19.8,83.0,520.0,497.0,1017.0
Georgia,55.0,21.0,20.9,22.0,21.3,21.4,61.0,535.0,515.0,1050.0
Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,55.0,544.0,541.0,1085.0
Idaho,38.0,21.9,21.8,23.0,22.1,22.3,93.0,513.0,493.0,1005.0
Illinois,93.0,21.0,21.2,21.6,21.3,21.4,9.0,559.0,556.0,1115.0
Indiana,35.0,22.0,22.4,23.2,22.3,22.6,63.0,542.0,532.0,1074.0
Iowa,67.0,21.2,21.3,22.6,22.1,21.9,2.0,641.0,635.0,1275.0
Kansas,73.0,21.1,21.3,22.3,21.7,21.7,4.0,632.0,628.0,1260.0
Kentucky,100.0,19.6,19.4,20.5,20.1,20.0,4.0,631.0,616.0,1247.0
Louisiana,100.0,19.4,18.8,19.8,19.6,19.5,4.0,611.0,586.0,1198.0
Maine,8.0,24.2,24.0,24.8,23.7,24.3,95.0,513.0,499.0,1012.0
Maryland,28.0,23.3,23.1,24.2,23.1,23.6,69.0,536.0,524.0,1060.0
Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,76.0,555.0,551.0,1107.0
Michigan,29.0,24.1,23.7,24.5,23.8,24.1,100.0,509.0,495.0,1005.0
Minnesota,100.0,20.4,21.5,21.8,21.6,21.5,3.0,644.0,651.0,1295.0
Mississippi,100.0,18.2,18.1,18.8,18.8,18.6,2.0,634.0,607.0,1242.0
Missouri,100.0,19.8,19.9,20.8,20.5,20.4,3.0,640.0,631.0,1271.0
Montana,100.0,19.0,20.2,21.0,20.5,20.3,10.0,605.0,591.0,1196.0
Nebraska,84.0,20.9,20.9,21.9,21.5,21.4,3.0,629.0,625.0,1253.0
Nevada,100.0,16.3,18.0,18.1,18.2,17.8,26.0,563.0,553.0,1116.0
New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,96.0,532.0,520.0,1052.0
New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,70.0,530.0,526.0,1056.0
New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,11.0,577.0,561.0,1138.0
New York,31.0,23.8,24.0,24.6,23.9,24.2,67.0,528.0,523.0,1052.0
North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,49.0,546.0,535.0,1081.0
North Dakota,98.0,19.0,20.4,20.5,20.6,20.3,2.0,635.0,621.0,1256.0
Ohio,75.0,21.2,21.6,22.5,22.0,22.0,12.0,578.0,570.0,1149.0
Oklahoma,100.0,18.5,18.8,20.1,19.6,19.4,7.0,530.0,517.0,1047.0
Oregon,40.0,21.2,21.5,22.4,21.7,21.8,43.0,560.0,548.0,1108.0
Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,65.0,540.0,531.0,1071.0
Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,71.0,539.0,524.0,1062.0
South Carolina,100.0,17.5,18.6,19.1,18.9,18.7,50.0,543.0,521.0,1064.0
South Dakota,80.0,20.7,21.5,22.3,22.0,21.8,3.0,612.0,603.0,1216.0
Tennessee,100.0,19.5,19.2,20.1,19.9,19.8,5.0,623.0,604.0,1228.0
Texas,45.0,19.5,20.7,21.1,20.9,20.7,62.0,513.0,507.0,1020.0
Utah,100.0,19.5,19.9,20.8,20.6,20.3,3.0,624.0,614.0,1238.0
Vermont,29.0,23.3,23.1,24.4,23.2,23.6,60.0,562.0,551.0,1114.0
Virginia,29.0,23.5,23.3,24.6,23.5,23.8,65.0,561.0,541.0,1102.0
Washington,29.0,20.9,21.9,22.1,22.0,21.9,64.0,541.0,534.0,1075.0
West Virginia,69.0,20.0,19.4,21.2,20.5,20.4,14.0,558.0,528.0,1086.0
Wisconsin,100.0,19.7,20.4,20.6,20.9,20.5,3.0,642.0,649.0,1291.0
Wyoming,100.0,19.4,19.8,20.8,20.6,20.2,3.0,626.0,604.0,1230.0
